timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2023-05-15T16:12:04,codecarbon,b2d48511-6c1c-4da2-b355-372c9ca74062,0.0871839523315429,7.809149490462409e-08,8.957095063510989e-07,5.0,0.0,12.0,1.2102093961503774e-07,0,2.899869283040365e-07,4.110078679190742e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:05,codecarbon,962a6488-8f7d-4743-a3ce-4ddd3237ec30,0.0893971920013427,8.00257596704695e-08,8.95170842382471e-07,5.0,0.0,12.0,1.2405746512942844e-07,0,2.971307436625163e-07,4.211882087919448e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:06,codecarbon,0cfc3711-76b7-4946-b79a-1bae4c59fd60,0.0899350643157959,8.019594748814901e-08,8.917094583548728e-07,5.0,0.0,12.0,1.24583641688029e-07,0,2.975002924601237e-07,4.220839341481527e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:08,codecarbon,c75b939b-f5f3-4371-95dc-e5ef49b5b25f,0.0896000862121582,8.02011443508996e-08,8.95101196230956e-07,5.0,0.0,12.0,1.2433760695987278e-07,0,2.977736790974935e-07,4.221112860573663e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:09,codecarbon,b811bdb6-75f6-46cd-9adb-1a1cd399db9d,0.0940690040588378,8.421524895562068e-08,8.952497137414792e-07,5.0,0.0,12.0,1.3054741753472225e-07,0,3.1269073486328125e-07,4.432381523980035e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:13,codecarbon,d7230105-7af8-4cc6-8c3d-4433156f3de3,0.1944589614868164,1.7435801691479154e-07,8.966314310313355e-07,5.0,0.0,12.0,2.700136767493354e-07,0,6.476600964864095e-07,9.176737732357448e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:16,codecarbon,2974e2e0-24b3-4333-8c73-714baa5fdc59,0.2041990756988525,1.8309189213646785e-07,8.966342845081579e-07,5.0,0.0,12.0,2.835445933871799e-07,0,6.80096944173177e-07,9.63641537560357e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:17,codecarbon,09d713cc-1cef-48c4-bea5-9909ff92b744,0.0865890979766845,7.751572529474896e-08,8.95213451878448e-07,5.0,0.0,12.0,1.2016097704569497e-07,0,2.878165245056153e-07,4.079775015513102e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:18,codecarbon,ac83d7a0-7bd6-4c09-90f8-848129470ccf,0.0861949920654296,7.712107830577427e-08,8.947280631713788e-07,5.0,0.0,12.0,1.1959307723575168e-07,0,2.863073348999024e-07,4.0590041213565403e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:19,codecarbon,7a5a38c1-af54-45bb-adf9-664f60d8b844,0.0930433273315429,8.329573141203986e-08,8.952359486804537e-07,5.0,0.0,12.0,1.291212108400133e-07,0,3.0927737553914386e-07,4.383985863791572e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:21,codecarbon,c54d3729-b891-4e68-a8d7-4034df39bada,0.0891907215118408,7.983844611379839e-08,8.951429561336057e-07,5.0,0.0,12.0,1.237733496559991e-07,0,2.964289983113607e-07,4.202023479673598e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:22,codecarbon,e2040e23-f211-4bf2-96c0-f94aef91cf8c,0.090203046798706,8.07581020726098e-08,8.95292397969957e-07,5.0,0.0,12.0,1.2518597973717584e-07,0,2.9985666275024413e-07,4.2504264248742e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:23,codecarbon,24aea97a-5038-42b2-b602-01aea713751b,0.0983591079711914,8.800369898478193e-08,8.947183519655087e-07,5.0,0.0,12.0,1.3647079467773438e-07,0,3.267065684000652e-07,4.631773630777995e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:25,codecarbon,981f6429-eae9-43c2-a172-5596911d1b64,0.2083241939544677,1.8679824935065378e-07,8.966709329569335e-07,5.0,0.0,12.0,2.892679638332791e-07,0,6.938807169596355e-07,9.831486807929149e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
2023-05-15T16:12:27,codecarbon,69b261cf-aa60-4f80-9b68-825ce2190805,0.0930337905883789,8.31896550125546e-08,8.941875256982814e-07,5.0,0.0,12.0,1.290635930167304e-07,0,3.087766965230306e-07,4.37840289539761e-07,Spain,ESP,catalonia,,,macOS-13.4-arm64-arm-64bit,3.10.11,2.2.1,10,Apple M1 Pro,,,2.1701,41.387,32.0,machine,N
